aethernet-fastapi  | INFO:     Started server process [1]
aethernet-fastapi  | INFO:     Waiting for application startup.
aethernet-fastapi  | INFO:     Application startup complete.
aethernet-fastapi  | INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
aethernet-fastapi  | INFO:     192.168.1.14:60948 - "GET /health HTTP/1.1" 200 OK
aethernet-fastapi  | INFO:     192.168.1.7:36788 - "GET /api/security-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-fastapi  | INFO:     192.168.1.7:36774 - "GET /api/access-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-fastapi  | INFO:     192.168.1.7:36788 - "GET /api/access-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-fastapi  | INFO:     192.168.1.7:36774 - "GET /api/security-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-fastapi  | INFO:     192.168.1.7:36788 - "GET /health HTTP/1.1" 200 OK
aethernet-fastapi  | INFO:     192.168.1.7:36788 - "GET /api/access-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-fastapi  | INFO:     192.168.1.7:38022 - "GET /api/security-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-fastapi  | INFO:     192.168.1.7:38022 - "GET /api/security-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-fastapi  | INFO:     192.168.1.7:38032 - "GET /api/access-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-fastapi  | INFO:     192.168.1.7:38032 - "GET /api/security-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-fastapi  | INFO:     192.168.1.7:35520 - "GET /api/access-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-fastapi  | INFO:     192.168.1.7:35530 - "GET /api/access-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-fastapi  | INFO:     192.168.1.7:35542 - "GET /api/security-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-fastapi  | INFO:     192.168.1.7:35542 - "GET /api/security-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-fastapi  | INFO:     192.168.1.7:35530 - "GET /api/access-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-fastapi  | INFO:     192.168.1.7:44596 - "GET /api/access-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-fastapi  | INFO:     192.168.1.7:44594 - "GET /api/security-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-fastapi  | INFO:     192.168.1.7:44594 - "GET /api/access-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-fastapi  | INFO:     192.168.1.7:44596 - "GET /api/security-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-fastapi  | INFO:     192.168.1.7:44594 - "GET /health HTTP/1.1" 200 OK
aethernet-fastapi  | INFO:     192.168.1.7:44594 - "GET /api/access-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-fastapi  | INFO:     192.168.1.7:44596 - "GET /api/security-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-fastapi  | INFO:     192.168.1.7:37996 - "GET /api/access-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-fastapi  | INFO:     192.168.1.7:38010 - "GET /api/security-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-fastapi  | INFO:     192.168.1.23:59687 - "POST /api/access-events HTTP/1.1" 201 Created
aethernet-fastapi  | INFO:     192.168.1.7:37996 - "GET /api/access-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-fastapi  | INFO:     192.168.1.7:38010 - "GET /api/security-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-fastapi  | INFO:     192.168.1.7:51150 - "GET /api/access-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-fastapi  | INFO:     192.168.1.7:51166 - "GET /api/security-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-fastapi  | INFO:     192.168.1.7:51150 - "GET /api/access-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-fastapi  | INFO:     192.168.1.7:51166 - "GET /api/security-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-fastapi  | INFO:     192.168.1.7:51150 - "GET /health HTTP/1.1" 200 OK
aethernet-fastapi  | INFO:     192.168.1.7:51150 - "GET /api/access-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-fastapi  | INFO:     192.168.1.7:51166 - "GET /api/security-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-fastapi  | INFO:     192.168.1.7:51166 - "GET /api/security-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-fastapi  | INFO:     192.168.1.7:51150 - "GET /api/access-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-fastapi  | INFO:     192.168.1.7:51150 - "GET /api/access-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-fastapi  | INFO:     192.168.1.7:51166 - "GET /api/security-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-fastapi  | INFO:     192.168.1.7:40544 - "GET /api/access-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-fastapi  | INFO:     192.168.1.7:40540 - "GET /api/security-events?limit=1&offset=0 HTTP/1.1" 200 OK
