frame_id,timestamp_ms,sujeto_id,mano,velocidad_subjetiva,gesto,distancia_cm,velocidad_cm_s,aceleracion_cm_s2,tendencia,valido
0,146629,mgv1,derecha,lenta,acercar,215.08,0,0,estable,1
1,146694,mgv1,derecha,lenta,acercar,215.08,0,0,estable,1
2,146759,mgv1,derecha,lenta,acercar,215.08,0,0,estable,1
3,146824,mgv1,derecha,lenta,acercar,215.05,-0.68,-13.6,estable,1
4,146889,mgv1,derecha,lenta,acercar,215.03,-0.34,6.8,estable,1
5,146954,mgv1,derecha,lenta,acercar,77.42,-2752.3,-55039.2,bajando,1
6,147011,mgv1,derecha,lenta,acercar,77.33,-1.7,55012,estable,1
7,147068,mgv1,derecha,lenta,acercar,76.91,-8.5,-136,bajando,1
8,147125,mgv1,derecha,lenta,acercar,76.26,-12.92,-88.4,bajando,1
9,147182,mgv1,derecha,lenta,acercar,76.7,8.84,435.2,subiendo,1
10,147239,mgv1,derecha,lenta,acercar,76.53,-3.4,-244.8,bajando,1
11,147296,mgv1,derecha,lenta,acercar,78.56,40.46,877.2,subiendo,1
12,147353,mgv1,derecha,lenta,acercar,214.64,2721.7,53624.8,subiendo,1
13,147418,mgv1,derecha,lenta,acercar,205.38,-185.3,-58140,bajando,1
14,147483,mgv1,derecha,lenta,acercar,215.02,192.78,7561.6,subiendo,1
15,147548,mgv1,derecha,lenta,acercar,215.03,0.34,-3848.8,estable,1
16,147613,mgv1,derecha,lenta,acercar,215.05,0.34,0,estable,1
17,147678,mgv1,derecha,lenta,acercar,215.02,-0.68,-20.4,estable,1
18,147743,mgv1,derecha,lenta,acercar,215,-0.34,6.79,estable,1
19,147808,mgv1,derecha,lenta,acercar,72.35,-2852.94,-57051.99,bajando,1
20,147865,mgv1,derecha,lenta,acercar,66.64,-114.24,54774,bajando,1
21,147922,mgv1,derecha,lenta,acercar,58.26,-167.62,-1067.6,bajando,1
22,147978,mgv1,derecha,lenta,acercar,53.55,-94.18,1468.8,bajando,1
23,148034,mgv1,derecha,lenta,acercar,47.17,-127.5,-666.4,bajando,1
24,148089,mgv1,derecha,lenta,acercar,43.59,-71.74,1115.2,bajando,1
25,148144,mgv1,derecha,lenta,acercar,36.47,-142.46,-1414.4,bajando,1
26,148199,mgv1,derecha,lenta,acercar,30.91,-111.18,625.6,bajando,1
27,148254,mgv1,derecha,lenta,acercar,27.11,-75.82,707.2,bajando,1
28,148308,mgv1,derecha,lenta,acercar,215.9,3775.7,77030.4,subiendo,1
29,148373,mgv1,derecha,lenta,acercar,216.31,8.16,-75350.79,subiendo,1
30,148438,mgv1,derecha,lenta,acercar,19.04,-3945.36,-79070.41,bajando,1
31,148492,mgv1,derecha,lenta,acercar,16.83,-44.2,78023.2,bajando,1
32,148546,mgv1,derecha,lenta,acercar,17.14,6.12,1006.4,subiendo,1
33,148600,mgv1,derecha,lenta,acercar,15.86,-25.5,-632.4,bajando,1
34,148654,mgv1,derecha,lenta,acercar,14.52,-26.86,-27.2,bajando,1
35,148708,mgv1,derecha,lenta,acercar,11.81,-54.06,-544,bajando,1
36,148761,mgv1,derecha,lenta,acercar,11.48,-6.8,945.2,bajando,1
37,148814,mgv1,derecha,lenta,acercar,10.11,-27.2,-408,bajando,1
38,148867,mgv1,derecha,lenta,acercar,9.77,-6.8,408,bajando,1
39,148920,mgv1,derecha,lenta,acercar,8.41,-27.2,-408,bajando,1
40,148973,mgv1,derecha,lenta,acercar,7.77,-12.92,285.6,bajando,1
41,149026,mgv1,derecha,lenta,acercar,7.45,-6.46,129.2,bajando,1
42,149079,mgv1,derecha,lenta,acercar,7.77,6.46,258.4,subiendo,1
43,149132,mgv1,derecha,lenta,acercar,7.45,-6.46,-258.4,bajando,1
44,149185,mgv1,derecha,lenta,acercar,7.12,-6.46,0,bajando,1
45,149238,mgv1,derecha,lenta,acercar,8.77,32.98,788.8,subiendo,1
46,149291,mgv1,derecha,lenta,acercar,7.77,-20.06,-1060.8,bajando,1
47,149344,mgv1,derecha,lenta,acercar,8.41,12.92,659.6,subiendo,1
48,149397,mgv1,derecha,lenta,acercar,9.44,20.4,149.6,subiendo,1
49,149450,mgv1,derecha,lenta,acercar,10.11,13.6,-136,subiendo,1
50,153579,mgv1,derecha,lenta,acercar,215.61,0,0,estable,1
51,153645,mgv1,derecha,lenta,acercar,215.61,0,0,estable,1
52,153710,mgv1,derecha,lenta,acercar,215.59,-0.34,-6.8,estable,1
53,153775,mgv1,derecha,lenta,acercar,215.59,0,6.8,estable,1
54,153840,mgv1,derecha,lenta,acercar,215.54,-1.02,-20.4,estable,1
55,153905,mgv1,derecha,lenta,acercar,215.54,0,20.4,estable,1
56,153970,mgv1,derecha,lenta,acercar,83.96,-2631.6,-52632,bajando,1
57,154028,mgv1,derecha,lenta,acercar,215.17,2624.12,105114.41,subiendo,1
58,154093,mgv1,derecha,lenta,acercar,215.65,9.52,-52292,subiendo,1
59,154158,mgv1,derecha,lenta,acercar,215.61,-0.68,-204,estable,1
60,154223,mgv1,derecha,lenta,acercar,63.7,-3038.24,-60751.19,bajando,1
61,154279,mgv1,derecha,lenta,acercar,60.49,-64.26,59479.59,bajando,1
62,154335,mgv1,derecha,lenta,acercar,57.95,-50.66,272,bajando,1
63,154391,mgv1,derecha,lenta,acercar,55.73,-44.54,122.4,bajando,1
64,154447,mgv1,derecha,lenta,acercar,52.02,-74.12,-591.6,bajando,1
65,154503,mgv1,derecha,lenta,acercar,49.64,-47.6,530.4,bajando,1
66,154559,mgv1,derecha,lenta,acercar,48.96,-13.6,680,bajando,1
67,154615,mgv1,derecha,lenta,acercar,43.21,-114.92,-2026.4,bajando,1
68,154670,mgv1,derecha,lenta,acercar,42.18,-20.74,1883.6,bajando,1
69,154725,mgv1,derecha,lenta,acercar,215.58,3468,69774.8,subiendo,1
70,154790,mgv1,derecha,lenta,acercar,34,-3631.54,-141990.8,bajando,1
71,154845,mgv1,derecha,lenta,acercar,31.94,-41.14,71808,bajando,1
72,154900,mgv1,derecha,lenta,acercar,29.09,-57.12,-319.6,bajando,1
73,154954,mgv1,derecha,lenta,acercar,29.87,15.64,1455.2,subiendo,1
74,155008,mgv1,derecha,lenta,acercar,25.09,-95.54,-2223.6,bajando,1
75,155062,mgv1,derecha,lenta,acercar,23.37,-34.34,1224,bajando,1
76,155116,mgv1,derecha,lenta,acercar,21.27,-42.16,-156.4,bajando,1
77,155170,mgv1,derecha,lenta,acercar,18.09,-63.58,-428.4,bajando,1
78,155224,mgv1,derecha,lenta,acercar,16.81,-25.5,761.6,bajando,1
79,155278,mgv1,derecha,lenta,acercar,17.14,6.46,639.2,subiendo,1
80,155332,mgv1,derecha,lenta,acercar,14.86,-45.56,-1040.4,bajando,1
81,155386,mgv1,derecha,lenta,acercar,13.5,-27.2,367.2,bajando,1
82,155440,mgv1,derecha,lenta,acercar,12.49,-20.06,142.8,bajando,1
83,155493,mgv1,derecha,lenta,acercar,11.48,-20.4,-6.8,bajando,1
84,155546,mgv1,derecha,lenta,acercar,10.11,-27.2,-136,bajando,1
85,155599,mgv1,derecha,lenta,acercar,9.79,-6.46,414.8,bajando,1
86,155652,mgv1,derecha,lenta,acercar,9.45,-6.8,-6.8,bajando,1
87,155705,mgv1,derecha,lenta,acercar,9.45,0,136,estable,1
88,155758,mgv1,derecha,lenta,acercar,8.09,-27.2,-544,bajando,1
89,155811,mgv1,derecha,lenta,acercar,8.77,13.6,816,subiendo,1
90,155864,mgv1,derecha,lenta,acercar,8.09,-13.6,-544,bajando,1
91,155917,mgv1,derecha,lenta,acercar,8.09,0,272,estable,1
92,155970,mgv1,derecha,lenta,acercar,8.09,0,0,estable,1
93,156023,mgv1,derecha,lenta,acercar,8.09,0,0,estable,1
94,156076,mgv1,derecha,lenta,acercar,7.12,-19.38,-387.6,bajando,1
95,156129,mgv1,derecha,lenta,acercar,7.12,0,387.6,estable,1
96,156182,mgv1,derecha,lenta,acercar,7.11,-0.34,-6.8,estable,1
97,156235,mgv1,derecha,lenta,acercar,8.09,19.72,401.2,subiendo,1
98,156288,mgv1,derecha,lenta,acercar,9.1,20.06,6.8,subiendo,1
99,156341,mgv1,derecha,lenta,acercar,7.45,-32.98,-1060.8,bajando,1
100,157654,mgv1,derecha,lenta,acercar,205.46,0,0,estable,1
101,157719,mgv1,derecha,lenta,acercar,215.19,194.48,3889.6,subiendo,1
102,157784,mgv1,derecha,lenta,acercar,215.13,-1.02,-3910,estable,1
103,157849,mgv1,derecha,lenta,acercar,215.17,0.68,34.01,estable,1
104,157914,mgv1,derecha,lenta,acercar,215.15,-0.34,-20.41,estable,1
105,157979,mgv1,derecha,lenta,acercar,204.6,-211.14,-4215.99,bajando,1
106,158044,mgv1,derecha,lenta,acercar,215.17,211.48,8452.4,subiendo,1
107,158109,mgv1,derecha,lenta,acercar,204.6,-211.48,-8459.2,bajando,1
108,158174,mgv1,derecha,lenta,acercar,205.46,17.34,4576.4,subiendo,1
109,158239,mgv1,derecha,lenta,acercar,215.15,193.8,3529.19,subiendo,1
110,158304,mgv1,derecha,lenta,acercar,204.6,-211.14,-8098.79,bajando,1
111,158369,mgv1,derecha,lenta,acercar,75.11,-2589.78,-47572.8,bajando,1
112,158426,mgv1,derecha,lenta,acercar,69.96,-103.02,49735.2,bajando,1
113,158483,mgv1,derecha,lenta,acercar,61.9,-161.16,-1162.8,bajando,1
114,158539,mgv1,derecha,lenta,acercar,59.65,-44.88,2325.6,bajando,1
115,158595,mgv1,derecha,lenta,acercar,56.03,-72.42,-550.8,bajando,1
116,158651,mgv1,derecha,lenta,acercar,54.04,-39.78,652.8,bajando,1
117,158707,mgv1,derecha,lenta,acercar,51.19,-57.12,-346.8,bajando,1
118,158763,mgv1,derecha,lenta,acercar,49.15,-40.8,326.4,bajando,1
119,158819,mgv1,derecha,lenta,acercar,49.32,3.4,884,subiendo,1
120,158875,mgv1,derecha,lenta,acercar,47.99,-26.52,-598.4,bajando,1
121,158931,mgv1,derecha,lenta,acercar,46.99,-20.06,129.2,bajando,1
122,158986,mgv1,derecha,lenta,acercar,45.8,-23.8,-74.8,bajando,1
123,159041,mgv1,derecha,lenta,acercar,215.15,3387.08,68217.59,subiendo,1
124,159106,mgv1,derecha,lenta,acercar,215.17,0.34,-67734.79,estable,1
125,159171,mgv1,derecha,lenta,acercar,215.15,-0.34,-13.61,estable,1
126,159236,mgv1,derecha,lenta,acercar,215.1,-1.02,-13.59,estable,1
127,159301,mgv1,derecha,lenta,acercar,36.92,-3563.54,-71250.4,bajando,1
128,159356,mgv1,derecha,lenta,acercar,215.1,3563.54,142541.59,subiendo,1
129,159421,mgv1,derecha,lenta,acercar,214.71,-7.82,-71427.2,bajando,1
130,159486,mgv1,derecha,lenta,acercar,215.1,7.82,312.79,subiendo,1
131,159551,mgv1,derecha,lenta,acercar,23.37,-3834.52,-76846.8,bajando,1
132,159605,mgv1,derecha,lenta,acercar,22.22,-23.12,76228,bajando,1
133,159659,mgv1,derecha,lenta,acercar,21.27,-19.04,81.6,bajando,1
134,159713,mgv1,derecha,lenta,acercar,23.95,53.72,1455.2,subiendo,1
135,159767,mgv1,derecha,lenta,acercar,18.09,-117.3,-3420.4,bajando,1
136,159821,mgv1,derecha,lenta,acercar,15.86,-44.54,1455.2,bajando,1
137,159875,mgv1,derecha,lenta,acercar,15.86,0,890.8,estable,1
138,159929,mgv1,derecha,lenta,acercar,14.53,-26.52,-530.4,bajando,1
139,159983,mgv1,derecha,lenta,acercar,12.84,-34,-149.6,bajando,1
140,160036,mgv1,derecha,lenta,acercar,10.8,-40.8,-136,bajando,1
141,160089,mgv1,derecha,lenta,acercar,9.79,-20.06,414.8,bajando,1
142,160142,mgv1,derecha,lenta,acercar,8.77,-20.4,-6.8,bajando,1
143,160195,mgv1,derecha,lenta,acercar,7.45,-26.52,-122.4,bajando,1
144,160248,mgv1,derecha,lenta,acercar,6.8,-12.92,272,bajando,1
145,160301,mgv1,derecha,lenta,acercar,6.15,-12.92,0,bajando,1
146,160354,mgv1,derecha,lenta,acercar,5.51,-12.92,0,bajando,1
147,160407,mgv1,derecha,lenta,acercar,4.56,-19.04,-122.4,bajando,1
148,160460,mgv1,derecha,lenta,acercar,4.56,0,380.8,estable,1
149,160513,mgv1,derecha,lenta,acercar,4.23,-6.46,-129.2,bajando,1
150,161302,mgv1,derecha,lenta,acercar,215.13,0,0,estable,1
151,161368,mgv1,derecha,lenta,acercar,215.15,0.34,6.8,estable,1
152,161433,mgv1,derecha,lenta,acercar,215.13,-0.34,-13.6,estable,1
153,161498,mgv1,derecha,lenta,acercar,215.15,0.34,13.6,estable,1
154,161563,mgv1,derecha,lenta,acercar,215.15,0,-6.8,estable,1
155,161628,mgv1,derecha,lenta,acercar,215.15,0,0,estable,1
156,161693,mgv1,derecha,lenta,acercar,215.19,0.68,13.6,estable,1
